ticker,combined_score,sentiment,macd_line,macd_signal,macd_histogram,macd_score,rsi_value,rsi_score,bb_upper,bb_middle,bb_lower,bb_current,bb_score,mfi_value,mfi_score,last_close,last_date
GPP,50.0,Bullish,-1.3200905772838283,-0.946945382410964,-0.37314519487286424,-100,14.305490516208337,100,53.98805137951678,49.6625,45.33694862048322,44.8,100,1.1953360672164024,100,44.8,2026-02-04
CCC,50.0,Bullish,-3.616130342956808,-1.2484896914422074,-2.3676406515146002,-100,19.722421505990624,100,148.2210645728536,130.01749999999998,111.81393542714636,111.05,100,10.517654497597817,100,111.05,2026-02-04
PLW,37.5,Bullish,2.4924768007505236,4.7355699070285056,-2.243093106277982,-100,28.66276515782272,100,288.3766462835036,273.3,258.22335371649643,263.0,50,19.7411359599309,100,263.0,2026-02-04
ACP,37.5,Bullish,-3.4948639317609604,-0.736737811880414,-2.7581261198805462,-100,18.199381978656803,100,242.96996137127996,221.17,199.37003862872,190.0,100,36.700106906389586,50,190.0,2026-02-04
WPL,37.5,Bullish,-0.3224070238531169,0.3493841477574394,-0.6717911716105563,-100,23.81103221452115,100,67.84312442317997,63.36999999999999,58.89687557682001,58.2,100,28.482238917602075,50,58.2,2026-02-04
ALE,25.0,Neutral,-0.6021062510660258,-0.4466606563741438,-0.15544559469188196,-100,29.215470927464324,100,32.73491585587472,30.643250000000002,28.551584144125286,28.9,50,25.858183412138175,50,28.9,2026-02-04
CBF,25.0,Neutral,1.4923461192736909,3.0069425659603572,-1.5145964466866664,-100,32.12677488309946,50,215.69018637471183,209.375,203.05981362528817,201.5,100,36.645127515714556,50,201.5,2026-02-04
ATT,25.0,Neutral,-0.2959586876021305,-0.1673112226224745,-0.128647464979656,-100,39.73609677299174,50,20.39566589250183,18.3835,16.37133410749817,17.47,50,19.96700575302222,100,17.47,2026-02-04
LBW,12.5,Neutral,0.0454560257769554,0.013741241291599551,0.03171478448535585,100,46.68093458113764,0,8.803764092721655,8.40975,8.015735907278346,8.41,-50,58.108340691896785,0,8.41,2026-02-04
DIA,12.5,Neutral,2.0603522205906017,4.069187956306442,-2.0088357357158406,-100,30.152268753316193,50,204.82449742018653,192.26749999999998,179.71050257981344,183.9,50,38.49979611790923,50,183.9,2026-02-04
HUG,12.5,Neutral,0.12041264591243817,0.07338877313947063,0.04702387277296753,100,51.420819116054105,0,24.767785850713217,24.1025,23.43721414928678,24.3,-50,53.91283750971338,0,24.3,2026-02-04
11B,12.5,Neutral,-2.6881289237461488,-2.1440519451637647,-0.544076978582384,-100,34.80771578567666,50,155.9725786898893,147.15,138.3274213101107,141.0,50,35.21610956098685,50,141.0,2026-02-04
VRC,12.5,Neutral,3.5019570965918376,2.965765255551051,0.5361918410407864,100,53.28698880768327,0,147.652307997221,138.45999999999998,129.26769200277897,141.8,-50,46.76996608128569,0,141.8,2026-02-04
MRB,12.5,Neutral,-0.4109252777312715,-0.2763337064410887,-0.13459157129018284,-100,38.89798290059192,50,15.313629890363865,13.902000000000001,12.490370109636137,13.06,50,21.885190828190403,50,13.06,2026-02-04
PCO,12.5,Neutral,-0.16486091030818173,0.10850103755717845,-0.27336194786536017,-100,24.472053097785505,100,31.21001848655799,29.565500000000004,27.92098151344202,27.77,100,63.774443558799334,-50,27.77,2026-02-04
PEP,12.5,Neutral,-0.5488803500000756,-0.4389630337344675,-0.10991731626560813,-100,37.86051426992136,50,57.10987193482356,55.239999999999995,53.37012806517643,54.0,50,34.98518705060374,50,54.0,2026-02-04
DOM,0.0,Neutral,2.6225618643023836,2.401387402782182,0.2211744615202016,100,67.52521940780917,-50,273.1973678338902,267.3,261.4026321661098,271.0,-50,42.038528491039294,0,271.0,2026-02-04
MBK,0.0,Neutral,6.271814383685069,-0.35457835953642236,6.626392743221491,100,65.5283246012791,-50,1082.1855958828608,1029.9850000000001,977.7844041171395,1075.0,-50,54.84845628432013,0,1075.0,2026-02-04
GPW,0.0,Neutral,1.685522545603689,1.6283271446855168,0.05719540091817232,100,62.9490763973402,-50,72.8361994285598,69.6075,66.37880057144021,71.5,-50,48.83125648259228,0,71.5,2026-02-04
NEU,0.0,Neutral,-7.966068067636797,-5.719381030929329,-2.2466870367074687,-100,45.48564019573506,0,853.7717371000504,810.65,767.5282628999496,795.0,50,35.05122652166081,50,795.0,2026-02-04
EAT,0.0,Neutral,-0.053537386884325855,-0.031958036372204464,-0.02157935051212139,-100,47.31025836504465,0,14.240989307580719,13.702000000000002,13.163010692419284,13.54,50,21.683015131187986,50,13.54,2026-02-04
CDR,0.0,Neutral,2.7841591941631236,5.319640990497824,-2.5354817963347003,-100,37.765940481834,50,291.3947628362723,262.66999999999996,233.94523716372757,251.9,50,45.2578389330851,0,251.9,2026-02-04
TXT,0.0,Neutral,0.2850738053778201,0.40379192955943344,-0.11871812418161332,-100,37.97933041554597,50,44.53619185662259,42.377,40.21780814337742,41.6,50,43.413441364375515,0,41.6,2026-02-04
ASE,0.0,Neutral,1.4919734330513705,1.8406374557551248,-0.3486640227037543,-100,37.1243367416948,50,77.8913952819767,73.4,68.90860471802331,69.9,50,44.42939452187128,0,69.9,2026-02-04
MBR,-12.5,Neutral,9.008605177253173,11.70142223261288,-2.692817055359706,-100,47.96593772713132,0,381.7023947977718,363.975,346.24760520222827,361.5,50,53.730237590747144,0,361.5,2026-02-04
EUR,-12.5,Neutral,-0.028780942587799174,0.006191789706852509,-0.034972732294651684,-100,40.78332955747286,0,7.310934428987369,6.839,6.367065571012632,6.59,50,41.76702230882415,0,6.59,2026-02-04
CPS,-12.5,Neutral,0.23415744247686732,0.2990157052382332,-0.06485826276136586,-100,47.54903317940446,0,13.73611385511847,13.273499999999999,12.810886144881527,13.1,50,57.86712231843767,0,13.1,2026-02-04
GRX,-12.5,Neutral,0.09254998525789349,0.11158246411467743,-0.01903247885678394,-100,48.39530869398875,0,2.740853356987062,2.4598000000000004,2.1787466430129387,2.448,50,57.98746710291507,0,2.448,2026-02-04
SNT,-12.5,Neutral,7.602330829875086,7.228360340931942,0.37397048894314455,100,73.35696531699335,-100,304.238666421862,292.84229999999997,281.44593357813795,302.6,-50,57.714032345925276,0,302.6,2026-02-04
JSW,-12.5,Neutral,1.0595574660358729,1.0656500200161625,-0.006092553980289628,-100,45.646314479255466,0,30.445673557233583,27.042,23.63832644276642,26.43,50,55.686421122395174,0,26.43,2026-02-04
PZU,-12.5,Neutral,1.1451596526472656,1.12927084993515,0.01588880271211557,100,67.63294313976348,-50,71.74403556463245,69.90599999999999,68.06796443536753,71.72,-50,62.94133237242102,-50,71.72,2026-02-04
APR,-12.5,Neutral,0.2000599247083521,0.3206543941982064,-0.1205944694898543,-100,40.57959305721835,0,18.88271635946337,18.141000000000002,17.399283640536634,17.58,50,51.922543374819334,0,17.58,2026-02-04
VOX,-12.5,Neutral,1.5100421480129285,1.6121817240222551,-0.10213957600932666,-100,52.63406484294685,0,143.7190282885203,138.48999999999998,133.26097171147967,138.2,50,58.78569460181228,0,138.2,2026-02-04
ASB,-12.5,Neutral,1.7328627286334424,1.6757130414321302,0.057149687201312194,100,60.37986695028618,-50,39.967547512038436,35.989999999999995,32.01245248796155,37.72,-50,69.10909297997723,-50,37.72,2026-02-04
KTY,-25.0,Neutral,22.13146175115537,21.23349941136938,0.897962339785991,100,73.81290672349681,-100,1049.4655417203319,1010.525,971.584458279668,1043.0,-50,63.41067782902448,-50,1043.0,2026-02-04
PKN,-25.0,Neutral,3.143988599875911,2.442848286855506,0.7011403130204048,100,75.28429337022453,-100,111.12541320233545,101.795,92.46458679766455,110.52,-50,66.82931951116515,-50,110.52,2026-02-04
NWG,-25.0,Neutral,7.548691867136512,6.210257630519306,1.3384342366172062,100,79.38176467445886,-100,135.40208665062255,112.55500000000002,89.70791334937749,127.0,-50,75.27811574463857,-50,127.0,2026-02-04
PGE,-25.0,Neutral,0.21796747148019868,0.10274321639280286,0.11522425508739582,100,80.2356225717696,-100,10.167876343218113,9.42255,8.677223656781885,10.135,-50,76.14742806226269,-50,10.135,2026-02-04
VRG,-25.0,Neutral,0.09462084970287421,0.06316637063502481,0.0314544790678494,100,72.92876859740495,-100,5.334671786192093,4.96,4.585328213807907,5.34,-100,56.152272621963796,0,5.34,2026-02-04
DNP,-25.0,Neutral,-0.7156808405403794,-0.6487812846679365,-0.0668995558724429,-100,59.086400857077905,0,42.77321507084928,39.738,36.70278492915072,39.81,-50,37.430494025110924,50,39.81,2026-02-04
RBW,-25.0,Neutral,2.950748942982244,2.7893249388582917,0.16142400412395252,100,76.22885226091077,-100,158.721112317768,152.69,146.658887682232,159.3,-100,58.837912495093484,0,159.3,2026-02-04
PKO,-37.5,Bearish,2.980786606190648,2.5167070861788714,0.46407952001177666,100,75.515859667298,-100,96.21989944933256,89.788,83.35610055066743,96.1,-50,81.61420394005953,-100,96.1,2026-02-04
SPL,-37.5,Bearish,14.340083664405483,10.628268690056318,3.7118149743491653,100,76.53361868954138,-100,595.3144407170538,559.0899999999999,522.865559282946,602.6,-100,71.554567376186,-50,602.6,2026-02-04
XTB,-37.5,Bearish,3.5845355971260915,2.354258288711959,1.2302773084141325,100,88.59968947571653,-100,87.57076936364801,77.61,67.64923063635199,88.2,-100,75.1669461051622,-50,88.2,2026-02-04
TPE,-37.5,Bearish,0.5463754677687778,0.3790047479457465,0.16737071982303126,100,88.15312146852958,-100,11.568954893011465,10.14345,8.717945106988534,11.52,-50,88.065937133967,-100,11.52,2026-02-04
KGH,-37.5,Bearish,18.60012233737166,21.478267967623456,-2.8781456302517974,-100,52.16699538343844,0,365.8723595394221,323.70500000000004,281.53764046057796,333.9,-50,53.346003035713224,0,333.9,2026-02-04
PEO,-37.5,Bearish,5.546262863937358,3.646579047372688,1.8996838165646697,100,78.50772195935859,-100,229.1883541293065,214.07000000000002,198.95164587069354,233.4,-100,72.22540401531383,-50,233.4,2026-02-04
OPL,-37.5,Bearish,0.39772535073299764,0.36945402571966257,0.02827132501333507,100,74.97898683261118,-100,11.833308579344376,10.9185,10.003691420655624,11.565,-50,94.02891533180883,-100,11.565,2026-02-04
