ticker,company_name,industry,market_cap,shares_outstanding,net_debt,enterprise_value,eps_2025_actual,eps_2026_estimate,eps_2027_estimate,ebitda_2025,pe_ratio_2026,eps_cagr_2025_2027,ev_ebitda
AAPL,Apple Inc.,Consumer Electronics,4030975180800,14681140000,23601999872,4054577180672,7.9,8.47779,9.29666,152901992448.0,32.38677390142945,8.480062917721941,26.517490817203768
MSFT,Microsoft Corporation,Software - Infrastructure,3042704097280,7425629076,33816002560,3076520099840,15.97,17.20179,19.02493,175258992640.0,23.820607119256366,9.146314510367205,17.55413547400383
AMZN,"Amazon.com, Inc.",Internet Retail,2220035145728,10734920870,55518003200,2275553148928,7.17,7.70308,9.39078,145730994176.0,26.847051393591396,14.443532695090378,15.61475073847231
NVDA,NVIDIA Corporation,Semiconductors,4649059876864,24305000000,-49786000384,4599273876480,4.04,4.6921,7.71393,112696000512.0,40.766389990877926,38.180628666299896,40.81133186257363
GOOGL,Alphabet Inc.,Internet Content & Information,3893419573248,5822000000,-59847004160,3833572569088,10.82,11.39321,13.26936,150175006720.0,58.696594445565424,10.741743828818628,25.527367388340878
TSLA,"Tesla, Inc.",Auto Manufacturers,1550354743296,3752431984,-29340001280,1521014742016,1.07,2.06381,2.86013,10503000064.0,200.1928400802198,63.49369075254203,144.81716964178818
META,"Meta Platforms, Inc.",Internet Content & Information,1683988283392,2187177748,3488997376,1687477280768,23.48,29.57571,34.41221,101891997696.0,26.03273560076232,21.061830401817815,16.56143091631862
BRK-B,Berkshire Hathaway Inc.,Insurance - Diversified,1085937614848,1372820139,-254430011392,831507603456,31.25,21.29584,24.19081,103864000512.0,37.1446661872145,-12.016710677538311,8.005734415746206
UNH,UnitedHealth Group Incorporated,Healthcare Plans,249268649984,905838620,50268002304,299536652288,19.2,17.84996,20.0259,23324999680.0,15.416279717201379,2.128136426745786,12.84187165690885
JNJ,Johnson & Johnson,Drug Manufacturers - General,574881923072,2409295102,27232999424,602114922496,11.04,11.53492,12.54554,33059663872.0,20.68588319610192,6.600721236377871,18.212977749176797
V,Visa Inc.,Credit Services,636050604032,1681093942,4780000256,640830604288,10.64,12.84526,14.53248,28987000832.0,29.454848075501054,16.868926001147354,22.107516676253013
JPM,JPMorgan Chase & Co.,Banks - Diversified,885061910528,2696200000,-465979047936,419082862592,20.02,21.52629,23.12065,,15.249386074810188,7.465232627935192,
WMT,Walmart Inc.,Discount Stores,1041453678592,7970166964,57841999872,1099295678464,2.86,2.63634,2.96369,42713001984.0,49.56454456353107,1.7966229673285872,25.736792718895963
CVX,Chevron Corporation,Oil & Gas Integrated,360543453184,1980000000,33816999424,394360452608,6.64,6.77317,9.16553,38059999232.0,26.884406138223653,17.4883357450627,10.361546520380129
PG,The Procter & Gamble Company,Household & Personal Products,366586757120,2324000685,25813998592,392400755712,6.75,6.96865,7.31835,24764999680.0,22.63559254294108,4.124924969960975,15.844973179179949
HD,"The Home Depot, Inc.",Home Improvement Retail,381116645376,995511485,64298001152,445414646528,14.67,14.49365,15.04403,25586999296.0,26.413981712208432,1.2667887736191208,17.407850032560535
MA,Mastercard Incorporated,Credit Services,483894788096,886700000,8102000640,491996788736,16.52,19.46762,22.57078,20544000000.0,28.032470616147744,16.887551766085206,23.948441819314642
MRK,"Merck & Co., Inc.",Drug Manufacturers - General,296961441792,2482022536,23159998464,320121440256,7.28,5.14662,9.80872,28797331456.0,23.247284969588236,16.075477528703196,11.116357803677738
KO,The Coca-Cola Company,Beverages - Non-Alcoholic,337794826240,4301608845,32380001280,370174827520,3.02,2.98939,3.22464,16307000320.0,26.268755582271602,3.332550021954539,22.70036304997141
CSCO,"Cisco Systems, Inc.",Communication Equipment,336995188736,3951094563,13900998656,350896187392,2.59,4.12498,4.47765,15676000256.0,20.676852484819793,31.484690889182755,22.38429329303527
MCD,McDonald's Corporation,Restaurants,231564640256,712154350,53424999168,284989639424,11.71,12.13796,13.27447,14291999744.0,26.788747595334918,6.470709378652639,19.940501296443347
DIS,The Walt Disney Company,Entertainment,190851907584,1771519851,40962000896,231813908480,6.79,6.64235,7.36229,19306000384.0,16.2191737434015,4.128970105905894,12.007350247030846
VZ,Verizon Communications Inc.,Telecom Services,193750056960,4217000000,162595002368,356345059328,4.06,4.91382,5.24926,47608000512.0,9.350158958494887,13.706692075093363,7.484982681391549
NKE,"NIKE, Inc.",Footwear & Accessories,93545578496,1191495650,2936999936,96482578432,1.71,1.59424,2.38391,3808000000.0,49.24669642599736,18.071987160574142,25.33681156302521
AMGN,Amgen Inc.,Drug Manufacturers - General,202173513728,539000000,45475001344,247648515072,14.22,22.38028,23.1455,17063999488.0,16.759844243079712,27.58026072028972,14.512923259647017
CAT,Caterpillar Inc.,Farm & Heavy Construction Machinery,338986663936,467979596,33996998656,372983662592,18.81,22.7457,27.49591,13525999616.0,31.846109789687393,20.903716508647506,27.575312226890425
CRM,"Salesforce, Inc.",Software - Application,180270727168,937000000,312000512,180582727680,7.48,11.77056,13.11489,11800999936.0,16.34513433381291,32.41327501829081,15.302324265685005
HON,Honeywell International Inc.,Conglomerates,161246920704,634887208,21650000896,182896921600,7.58,10.52451,11.48186,7999000064.0,24.13198061969591,23.07547505237082,22.864973138722554
AXP,American Express Company,Credit Services,247056646144,686000000,9965998080,257022644224,15.37,17.54799,20.05857,,20.5231985880911,14.238646897723584,
IBM,International Business Machines Corporation,Information Technology Services,274896289792,934735206,50189998080,325086287872,11.15,12.41425,13.41699,16778000384.0,23.689712545767456,9.695828944825324,19.37574683703142
GS,"The Goldman Sachs Group, Inc.",Capital Markets,283222835200,299928511,-159999983616,123222851584,51.36,58.36152,65.09898,,16.180201289267284,12.583458139857173,
TRV,"The Travelers Companies, Inc.",Insurance - Property & Casualty,67111571456,217500000,2841000448,69952571904,27.44,27.17437,28.26963,8901000192.0,11.354778389452582,1.5004595775834018,7.858956341431343
MMM,3M Company,Conglomerates,89675939840,526700000,5199000064,94874939904,6.01,8.66847,9.35957,6016000000.0,19.641297241496336,24.793139983821355,15.770435489361702
BA,The Boeing Company,Aerospace & Defense,190321000448,785347096,27706998784,218027999232,2.48,1.51834,5.02821,-3238000128.0,159.60850742199227,42.390450250642296,-67.33415398802603
DOW,Dow Inc.,Chemicals,22344011776,717534072,15331999744,37676011520,-3.7,-0.38271,0.64159,2703000064.0,-81.36709539490195,,13.938590687358563
