ticker,last_close,last_high,last_date,avg_vol_5d,avg_vol_50d,vol_ratio
JSW,27.05,32.8,2026-02-03,1639384,651389,2.5167505028482196
PKO,96.5,97.1,2026-02-03,5152528,2901915,1.7755609387580698
VRC,153.8,155.0,2026-02-03,11370,7418,1.5328018462749624
NWG,124.8,128.6,2026-02-03,26115,17367,1.503685543296641
ALR,126.8,127.1,2026-02-03,332183,241767,1.3739760734079498
MBK,1083.0,1090.0,2026-02-03,38116,27820,1.370088136762951
MIL,18.12,18.46,2026-02-03,1251722,934297,1.339747122907422
KTY,1045.0,1047.0,2026-02-03,23506,17787,1.3215025399888012
TPE,11.48,11.6,2026-02-03,3697364,2974687,1.2429422833313761
BHW,118.8,119.0,2026-02-03,34879,29137,1.1970668444003922
LPP,20270.0,20320.0,2026-02-03,5906,5050,1.1694153517194956
PGE,10.12,10.28,2026-02-03,3754051,3435380,1.092761252306644
PZU,72.12,72.12,2026-02-03,1719333,1587769,1.0828607353898012
